species_name,class_probability,soundevent_probability,soundevent_start_time,soundevent_end_time,recording,id
Eptesicus serotinus,0.119,0.312,0.0425,0.0545,,dba305a6-14f3-4e57-9d45-7dbe3431ee88
Pipistrellus nathusii,0.095,0.214,0.8475,0.8658,,ff973048-20f1-49ea-8eeb-c96519236a2d
Eptesicus serotinus,0.088,0.219,0.9825,0.9941,,e2d70603-ba77-4c1a-b852-b59a9583e835
Nyctalus leisleri,0.107,0.27,1.4105,1.4275,,0e970cfc-348f-44d8-9754-9942e0c272f1
Eptesicus serotinus,0.071,0.204,1.6205,1.633,,3af26472-0fec-445f-a736-f9dd6e5ba374
Eptesicus serotinus,0.138,0.327,2.0895,2.0997,,a4e52b7f-3cb3-4332-8dc5-789390654cfc
Pipistrellus nathusii,0.145,0.363,2.2195,2.2312,,dc26296f-8d21-4d79-9864-6233d9db272e
Nyctalus leisleri,0.09,0.203,2.2925,2.3103,,7a970e81-5bd1-400c-9008-34f1730f3a2a
Eptesicus serotinus,0.218,0.437,2.3465,2.3564,,eba4403c-a879-438f-a748-2acd80438840
Pipistrellus nathusii,0.09,0.218,2.4405,2.4591,,8e95934c-1c2e-4edd-9d80-8aeb69119253
Eptesicus serotinus,0.112,0.307,2.7725,2.7818,,278b86bb-e664-4f41-aec0-f3571cec12c1
Eptesicus serotinus,0.127,0.212,2.8585,2.8687,,a94f6800-58eb-41eb-9ef2-058406cfb6a0
